,settlementDate,settlementPeriod,powerSystemResourceType,quantity
443,2021-07-19,41,"""Other""",297
444,2021-07-19,41,"""Nuclear""",5046
445,2021-07-19,41,"""Fossil Oil""",0
446,2021-07-19,41,"""Fossil Gas""",16302
447,2021-07-19,41,"""Fossil Hard coal""",940
448,2021-07-19,41,"""Hydro Run-of-river and poundage""",259
449,2021-07-19,41,"""Hydro Pumped Storage""",865
450,2021-07-19,41,"""Biomass""",2394
451,2021-07-19,42,"""Solar""",123
452,2021-07-19,42,"""Wind Offshore""",1342.36
453,2021-07-19,42,"""Wind Onshore""",586.974
454,2021-07-19,42,"""Other""",233
455,2021-07-19,42,"""Nuclear""",5054
456,2021-07-19,42,"""Fossil Oil""",0
457,2021-07-19,42,"""Fossil Gas""",15813
458,2021-07-19,42,"""Fossil Hard coal""",947
459,2021-07-19,42,"""Hydro Run-of-river and poundage""",240
460,2021-07-19,42,"""Hydro Pumped Storage""",880
461,2021-07-19,42,"""Biomass""",2395
462,2021-07-19,43,"""Solar""",8
463,2021-07-19,43,"""Wind Offshore""",1307.105
464,2021-07-19,43,"""Wind Onshore""",519.472
465,2021-07-19,43,"""Other""",256
466,2021-07-19,43,"""Nuclear""",5055
467,2021-07-19,43,"""Fossil Oil""",0
468,2021-07-19,43,"""Fossil Gas""",15591
469,2021-07-19,43,"""Fossil Hard coal""",982
470,2021-07-19,43,"""Hydro Run-of-river and poundage""",177
471,2021-07-19,43,"""Hydro Pumped Storage""",688
472,2021-07-19,43,"""Biomass""",2409
473,2021-07-19,44,"""Solar""",3
474,2021-07-19,44,"""Wind Offshore""",1188.509
475,2021-07-19,44,"""Wind Onshore""",493.974
476,2021-07-19,44,"""Other""",397
477,2021-07-19,44,"""Nuclear""",4970
478,2021-07-19,44,"""Fossil Oil""",0
479,2021-07-19,44,"""Fossil Gas""",15691
480,2021-07-19,44,"""Fossil Hard coal""",976
481,2021-07-19,44,"""Hydro Run-of-river and poundage""",158
482,2021-07-19,44,"""Hydro Pumped Storage""",267
483,2021-07-19,44,"""Biomass""",2422
484,2021-07-19,45,"""Solar""",2
485,2021-07-19,45,"""Wind Offshore""",1130.453
486,2021-07-19,45,"""Wind Onshore""",430.728
487,2021-07-19,45,"""Other""",337
488,2021-07-19,45,"""Nuclear""",4860
489,2021-07-19,45,"""Fossil Oil""",0
490,2021-07-19,45,"""Fossil Gas""",15670
491,2021-07-19,45,"""Fossil Hard coal""",976
492,2021-07-19,45,"""Hydro Run-of-river and poundage""",97
493,2021-07-19,45,"""Hydro Pumped Storage""",311
494,2021-07-19,45,"""Biomass""",2421
495,2021-07-19,46,"""Solar""",0
496,2021-07-19,46,"""Wind Offshore""",1001.475
497,2021-07-19,46,"""Wind Onshore""",416.653
498,2021-07-19,46,"""Other""",231
499,2021-07-19,46,"""Nuclear""",4862
500,2021-07-19,46,"""Fossil Oil""",0
501,2021-07-19,46,"""Fossil Gas""",15043
502,2021-07-19,46,"""Fossil Hard coal""",979
503,2021-07-19,46,"""Hydro Run-of-river and poundage""",88
504,2021-07-19,46,"""Hydro Pumped Storage""",0
505,2021-07-19,46,"""Biomass""",2419
506,2021-07-19,47,"""Solar""",2
507,2021-07-19,47,"""Wind Offshore""",945.811
508,2021-07-19,47,"""Wind Onshore""",386.406
509,2021-07-19,47,"""Other""",188
510,2021-07-19,47,"""Nuclear""",4865
511,2021-07-19,47,"""Fossil Oil""",0
512,2021-07-19,47,"""Fossil Gas""",14047
513,2021-07-19,47,"""Fossil Hard coal""",957
514,2021-07-19,47,"""Hydro Run-of-river and poundage""",90
515,2021-07-19,47,"""Hydro Pumped Storage""",0
516,2021-07-19,47,"""Biomass""",2419
517,2021-07-19,48,"""Solar""",2
518,2021-07-19,48,"""Wind Offshore""",930.538
519,2021-07-19,48,"""Wind Onshore""",376.33
520,2021-07-19,48,"""Other""",190
521,2021-07-19,48,"""Nuclear""",4884
522,2021-07-19,48,"""Fossil Oil""",0
523,2021-07-19,48,"""Fossil Gas""",12671
524,2021-07-19,48,"""Fossil Hard coal""",856
525,2021-07-19,48,"""Hydro Run-of-river and poundage""",123
526,2021-07-19,48,"""Hydro Pumped Storage""",0
527,2021-07-19,48,"""Biomass""",2458
528,2021-07-20,1,"""Solar""",1
529,2021-07-20,1,"""Wind Offshore""",921.068
530,2021-07-20,1,"""Wind Onshore""",345.85
531,2021-07-20,1,"""Other""",190
532,2021-07-20,1,"""Nuclear""",5024
533,2021-07-20,1,"""Fossil Oil""",0
534,2021-07-20,1,"""Fossil Gas""",12078
535,2021-07-20,1,"""Fossil Hard coal""",874
536,2021-07-20,1,"""Hydro Run-of-river and poundage""",107
537,2021-07-20,1,"""Hydro Pumped Storage""",0
538,2021-07-20,1,"""Biomass""",2489
539,2021-07-20,2,"""Solar""",0
540,2021-07-20,2,"""Wind Offshore""",888.162
541,2021-07-20,2,"""Wind Onshore""",341.385
542,2021-07-20,2,"""Other""",141
543,2021-07-20,2,"""Nuclear""",5064
544,2021-07-20,2,"""Fossil Oil""",0
545,2021-07-20,2,"""Fossil Gas""",12065
546,2021-07-20,2,"""Fossil Hard coal""",876
547,2021-07-20,2,"""Hydro Run-of-river and poundage""",90
548,2021-07-20,2,"""Hydro Pumped Storage""",0
549,2021-07-20,2,"""Biomass""",2460
550,2021-07-20,3,"""Solar""",2
551,2021-07-20,3,"""Wind Offshore""",942.042
552,2021-07-20,3,"""Wind Onshore""",313.395
553,2021-07-20,3,"""Other""",144
554,2021-07-20,3,"""Nuclear""",5081
555,2021-07-20,3,"""Fossil Oil""",0
556,2021-07-20,3,"""Fossil Gas""",11630
557,2021-07-20,3,"""Fossil Hard coal""",704
558,2021-07-20,3,"""Hydro Run-of-river and poundage""",90
559,2021-07-20,3,"""Hydro Pumped Storage""",0
560,2021-07-20,3,"""Biomass""",2341
